Country Name,Country Code,Year,Value
Argentina,ARG,2014,9.67129993
Bolivia,BOL,2014,5.89613628
Brazil,BRA,2014,8.39644146
Chile,CHL,2014,7.84150124
Colombia,COL,2014,7.18553209
Ecuador,ECU,2014,6.83199883
Guyana,GUY,2014,3.94755435
Peru,PER,2014,4.96445227
Paraguay,PRY,2014,6.62719059
Suriname,SUR,2014,4.52127838
Uruguay,URY,2014,8.07319641
"Venezuela, RB",VEN,2014,0.0
Argentina,ARG,2015,10.22933674
Bolivia,BOL,2015,6.55064964
Brazil,BRA,2015,8.90929985
Chile,CHL,2015,8.3513937
Colombia,COL,2015,7.52338552
Ecuador,ECU,2015,7.60513353
Guyana,GUY,2015,4.02264786
Peru,PER,2015,4.96122217
Paraguay,PRY,2015,6.69165802
Suriname,SUR,2015,5.80808163
Uruguay,URY,2015,8.29225731
"Venezuela, RB",VEN,2015,0.0
Argentina,ARG,2016,9.85558891
Bolivia,BOL,2016,6.83333063
Brazil,BRA,2016,9.16901493
Chile,CHL,2016,8.55767059
Colombia,COL,2016,7.53117037
Ecuador,ECU,2016,7.41604376
Guyana,GUY,2016,4.01842117
Peru,PER,2016,4.95967245
Paraguay,PRY,2016,6.67556572
Suriname,SUR,2016,5.99283743
Uruguay,URY,2016,8.67535782
"Venezuela, RB",VEN,2016,0.0
Argentina,ARG,2017,10.23174763
Bolivia,BOL,2017,6.4901948
Brazil,BRA,2017,9.47124863
Chile,CHL,2017,9.090518
Colombia,COL,2017,7.67864323
Ecuador,ECU,2017,7.53717899
Guyana,GUY,2017,4.3191123
Peru,PER,2017,4.8808279
Paraguay,PRY,2017,6.60902548
Suriname,SUR,2017,5.32285929
Uruguay,URY,2017,8.82179642
"Venezuela, RB",VEN,2017,0.0
Argentina,ARG,2018,10.29146862
Bolivia,BOL,2018,6.60399437
Brazil,BRA,2018,9.46475029
Chile,CHL,2018,9.22575188
Colombia,COL,2018,7.62541437
Ecuador,ECU,2018,7.82609653
Guyana,GUY,2018,4.90492535
Peru,PER,2018,5.15967131
Paraguay,PRY,2018,6.74497652
Suriname,SUR,2018,6.68795872
Uruguay,URY,2018,9.01452351
"Venezuela, RB",VEN,2018,2.41691327
Argentina,ARG,2019,10.04194355
Bolivia,BOL,2019,6.88792992
Brazil,BRA,2019,9.61449146
Chile,CHL,2019,9.36262131
Colombia,COL,2019,7.77954912
Ecuador,ECU,2019,7.77070522
Guyana,GUY,2019,4.90331507
Peru,PER,2019,5.17916393
Paraguay,PRY,2019,7.16081905
Suriname,SUR,2019,8.70230103
Uruguay,URY,2019,9.39027691
"Venezuela, RB",VEN,2019,2.18563724
Argentina,ARG,2020,10.34701538
Bolivia,BOL,2020,8.0225811
Brazil,BRA,2020,10.18235016
Chile,CHL,2020,9.72726822
Colombia,COL,2020,8.71432114
Ecuador,ECU,2020,8.35889626
Guyana,GUY,2020,5.50584173
Peru,PER,2020,6.28521156
Paraguay,PRY,2020,7.67533064
Suriname,SUR,2020,6.84054422
Uruguay,URY,2020,9.13688469
"Venezuela, RB",VEN,2020,4.08657551
Argentina,ARG,2021,9.70880699
Bolivia,BOL,2021,8.15972805
Brazil,BRA,2021,9.89072323
Chile,CHL,2021,9.34327984
Colombia,COL,2021,9.01772404
Ecuador,ECU,2021,8.28661728
Guyana,GUY,2021,4.94385052
Peru,PER,2021,6.15173197
Paraguay,PRY,2021,8.03277016
Suriname,SUR,2021,5.6838975
Uruguay,URY,2021,9.3592062
"Venezuela, RB",VEN,2021,4.03775549
Argentina,ARG,2022,0.0
Bolivia,BOL,2022,0.0
Brazil,BRA,2022,0.0
Chile,CHL,2022,9.00162983
Colombia,COL,2022,0.0
Ecuador,ECU,2022,0.0
Guyana,GUY,2022,0.0
Peru,PER,2022,0.0
Paraguay,PRY,2022,0.0
Suriname,SUR,2022,0.0
Uruguay,URY,2022,0.0
"Venezuela, RB",VEN,2022,0.0
Argentina,ARG,2023,0.0
Bolivia,BOL,2023,0.0
Brazil,BRA,2023,0.0
Chile,CHL,2023,0.0
Colombia,COL,2023,0.0
Ecuador,ECU,2023,0.0
Guyana,GUY,2023,0.0
Peru,PER,2023,0.0
Paraguay,PRY,2023,0.0
Suriname,SUR,2023,0.0
Uruguay,URY,2023,0.0
"Venezuela, RB",VEN,2023,0.0
